"season","holiday","workingday","weather","temp","atemp","humidity","windspeed","weekday","hour","day","month","year","count"
1,1,0,1,-1.554398571743,-1.73256524548621,55,-1.73256524548621,2,12,16,1,2012,185
4,0,1,2,0.65959150534753,0.869302691887339,50,0.86930269188734,5,14,18,10,2012,285
1,0,1,2,-1.34354237392486,-1.37372774661312,65,-1.37372774661312,6,19,4,2,2011,103
4,0,1,1,-1.76525476956115,-1.64255980022431,86,-1.64255980022431,2,3,19,12,2011,3
2,0,1,1,-0.710973780470418,-0.745466053041578,62,-0.745466053041578,6,1,6,4,2012,38
1,0,1,1,-0.921829978288564,-0.835471498303476,49,-0.835471498303476,3,9,7,2,2012,289
1,0,1,1,-1.23811427501578,-1.28372230135122,60,-1.28372230135122,6,5,3,2,2012,17
1,0,0,2,-0.710973780470418,-0.835471498303476,40,-0.835471498303476,7,23,18,2,2012,74
3,0,0,1,0.65959150534753,0.869302691887339,41,0.86930269188734,7,10,15,9,2012,442
2,0,0,2,0.237879109711238,0.241633139403052,56,0.241633139403052,1,2,15,4,2012,74
1,0,1,1,-1.02725807719764,-1.01489024774002,52,-1.01489024774002,6,22,11,3,2011,64
4,0,1,1,0.554163406438457,0.869302691887339,53,0.86930269188734,2,16,3,12,2012,442
4,0,1,1,-0.183833285925053,-0.11779650055729,41,-0.11779650055729,6,16,12,10,2012,520
1,0,0,1,-0.710973780470418,-0.745466053041578,66,-0.745466053041578,1,1,13,3,2011,33
1,0,0,1,0.0270229118930925,0.0616222488792559,42,0.061622248879256,7,14,7,1,2012,512
2,0,1,3,0.448735307529384,0.421051888839598,83,0.421051888839598,3,3,15,5,2012,6
2,0,0,2,-0.183833285925053,-0.11779650055729,72,-0.11779650055729,1,9,1,5,2011,141
2,0,1,2,-0.183833285925053,-0.11779650055729,55,-0.11779650055729,5,11,7,4,2011,122
2,0,0,2,-0.394689483743199,-0.297215249993837,67,-0.297215249993837,1,12,1,4,2012,445
1,0,1,1,-1.87068286847022,-2.18081604853395,26,-2.18081604853395,3,17,3,1,2012,245
1,0,1,1,-0.816401879379491,-0.745466053041578,49,-0.745466053041578,6,19,3,2,2012,267
3,0,1,1,1.9247286922564,-1.37372774661312,30,-1.37372774661312,6,15,17,8,2012,383
1,0,0,1,-1.76525476956115,-1.73256524548621,47,-1.73256524548621,7,0,14,1,2012,44
3,0,1,1,-0.183833285925053,-0.11779650055729,77,-0.11779650055729,3,6,11,9,2012,211
3,0,1,3,0.448735307529384,0.421051888839598,83,0.421051888839598,3,22,18,9,2012,151
1,0,0,2,-0.289261384834126,-0.207209804731939,94,-0.207209804731939,7,0,17,3,2012,100
3,0,0,1,1.9247286922564,1.85640188433197,40,1.85640188433197,7,12,4,8,2012,547
1,0,0,1,-0.500117582652272,-0.386628554168485,62,-0.386628554168485,1,12,1,1,2012,201
4,0,1,1,-0.710973780470418,-0.835471498303476,50,-0.835471498303476,6,10,9,11,2012,197
2,0,1,3,-0.605545681561345,-0.476633999430383,87,-0.476633999430383,3,8,5,4,2011,157
1,0,1,1,-1.02725807719764,-1.10430355191467,49,-1.10430355191467,3,16,4,1,2011,83
3,0,1,1,1.9247286922564,1.85640188433197,44,1.85640188433197,5,13,2,8,2012,310
2,0,1,1,0.65959150534753,0.689883942450793,78,0.689883942450793,3,10,15,5,2012,171
3,0,1,1,0.237879109711238,0.241633139403052,83,0.241633139403052,6,5,14,9,2012,41
4,0,0,2,-0.921829978288564,-0.745466053041578,81,-0.745466053041578,7,19,1,12,2012,249
2,0,1,3,0.237879109711238,0.241633139403052,88,0.241633139403052,3,10,17,5,2011,104
4,0,1,1,-0.710973780470418,-0.65605274886693,81,-0.65605274886693,2,22,7,11,2011,108
1,0,1,1,-1.44897047283393,-1.46314105078776,51,-1.46314105078776,5,17,6,1,2011,172
1,0,0,2,-0.500117582652272,-0.386628554168485,100,-0.386628554168485,7,7,17,3,2012,86
2,0,1,2,0.448735307529384,0.421051888839598,83,0.421051888839598,4,10,2,5,2012,175
2,0,1,1,-0.816401879379491,-1.01489024774002,46,-1.01489024774002,6,17,1,4,2011,281
1,0,0,1,-2.08153906628837,-2.27082149379585,49,-2.27082149379585,1,6,9,1,2011,1
1,0,1,1,-0.921829978288564,-1.10430355191467,36,-1.10430355191467,2,14,7,3,2011,77
2,0,0,1,-0.289261384834126,-0.207209804731939,26,-0.207209804731939,1,9,8,4,2012,179
4,0,0,1,0.65959150534753,0.779889387712691,69,0.779889387712691,7,10,6,10,2012,539
1,0,1,2,-1.34354237392486,-1.28372230135122,93,-1.28372230135122,4,8,19,1,2011,197
4,0,1,1,0.554163406438457,0.869302691887339,56,0.86930269188734,6,17,7,10,2011,563
2,0,0,1,0.765019604256603,0.600470638276144,89,0.600470638276145,1,2,12,6,2011,66
3,0,1,1,0.870447703165676,0.869302691887339,69,0.86930269188734,5,0,16,8,2012,76
4,0,0,3,-0.710973780470418,-0.745466053041578,87,-0.745466053041578,1,16,2,10,2011,206
1,0,1,1,-1.44897047283393,-1.46314105078776,37,-1.46314105078776,2,11,13,2,2012,90
4,0,1,1,0.765019604256603,0.869302691887339,41,0.86930269188734,4,13,5,10,2011,219
3,0,0,1,1.60844439552919,1.76639643907007,59,1.76639643907007,1,16,4,9,2011,337
4,0,0,1,-0.816401879379491,-0.835471498303476,61,-0.835471498303476,1,5,13,11,2011,5
1,0,0,1,-1.23811427501578,-1.19430899717657,60,-1.19430899717657,7,0,12,3,2011,34
3,0,0,2,0.870447703165676,0.689883942450793,94,0.689883942450793,7,4,8,9,2012,11
3,1,0,1,2.24101298898362,2.21523938320506,35,2.21523938320506,4,17,4,7,2012,414
3,0,1,1,1.29216009880197,1.22814019076043,58,1.22814019076043,3,9,5,7,2011,227
3,0,1,2,1.9247286922564,2.03582063376852,50,2.03582063376852,6,12,3,8,2012,338
3,0,1,1,0.554163406438457,0.510465193014247,83,0.510465193014247,2,4,15,8,2011,5
3,0,1,2,1.18673199989289,1.22814019076043,62,1.22814019076043,4,10,15,8,2012,233
1,0,1,1,-1.44897047283393,-1.55314649604966,51,-1.55314649604966,3,11,4,1,2011,57
4,0,1,1,0.0270229118930925,0.0616222488792559,68,0.061622248879256,6,22,7,10,2011,146
3,0,1,2,0.975875802074748,0.959308137149237,89,0.959308137149238,5,7,4,8,2011,282
4,0,0,1,-0.500117582652272,-0.386628554168485,37,-0.386628554168485,7,13,5,11,2011,355
2,0,0,1,0.870447703165676,0.869302691887339,74,0.86930269188734,7,23,11,6,2011,131
4,0,0,1,-0.921829978288564,-0.835471498303476,87,-0.835471498303476,1,8,11,11,2012,119
2,0,0,1,-0.183833285925053,-0.11779650055729,88,-0.11779650055729,1,23,8,5,2011,50
2,0,0,2,-0.710973780470418,-0.745466053041578,76,-0.745466053041578,1,6,1,4,2012,97
1,0,0,2,-2.08153906628837,-2.53965354740704,46,-2.53965354740704,1,3,12,2,2012,14
1,0,0,1,-1.97611096737929,-2.18081604853395,39,-2.18081604853395,7,21,8,1,2011,37
3,0,0,2,0.870447703165676,0.689883942450793,89,0.689883942450793,1,8,14,8,2011,41
4,0,1,1,-0.183833285925053,-0.11779650055729,88,-0.11779650055729,6,23,19,10,2012,131
2,0,1,1,2.13558489007455,2.12523393794316,39,2.12523393794316,4,15,1,6,2011,152
4,0,0,1,-0.394689483743199,-0.297215249993837,77,-0.297215249993837,1,1,14,10,2012,112
3,0,0,1,1.18673199989289,1.40755894019698,84,1.40755894019698,1,20,7,8,2011,183
3,0,0,1,1.08130390098382,1.04872144132389,65,1.04872144132389,7,13,3,9,2011,353
3,0,1,1,1.29216009880197,1.22814019076043,58,1.22814019076043,4,3,13,7,2011,4
4,0,1,1,0.0270229118930925,0.0616222488792559,77,0.061622248879256,3,8,18,10,2011,499
2,0,1,1,0.343307208620311,0.3310464435777,26,0.3310464435777,3,21,17,4,2012,297
3,0,1,2,1.9247286922564,1.85640188433197,44,1.85640188433197,6,14,3,8,2012,331
1,0,1,1,-1.02725807719764,-0.835471498303476,81,-0.835471498303476,6,9,2,3,2012,314
4,0,1,2,-0.710973780470418,-0.745466053041578,57,-0.745466053041578,2,22,19,12,2011,107
4,0,1,3,0.343307208620311,0.3310464435777,60,0.3310464435777,2,17,1,10,2012,856
1,0,0,2,-1.76525476956115,-2.0013972990974,47,-2.0013972990974,1,2,15,1,2012,43
1,0,1,2,-0.710973780470418,-0.745466053041578,71,-0.745466053041578,4,9,1,2,2012,276
1,0,1,3,-1.554398571743,-1.64255980022431,93,-1.64255980022431,3,23,1,2,2011,16
1,0,1,1,-1.87068286847022,-2.0013972990974,50,-2.0013972990974,5,0,19,1,2012,16
3,0,0,1,1.08130390098382,1.04872144132389,61,1.04872144132389,7,12,3,9,2011,257
1,0,1,1,0.554163406438457,0.779889387712691,64,0.779889387712691,2,21,19,3,2012,223
2,0,1,1,0.343307208620311,0.3310464435777,88,0.3310464435777,6,0,17,6,2011,24
1,0,1,1,-0.183833285925053,-0.11779650055729,63,-0.11779650055729,5,17,12,1,2012,495
2,0,1,2,-0.0784051870159804,-0.0277910552953925,82,-0.0277910552953925,5,0,3,5,2012,90
1,0,1,1,-1.87068286847022,-1.91198399492275,59,-1.91198399492275,3,1,11,1,2011,3
2,0,1,1,-0.183833285925053,-0.11779650055729,72,-0.11779650055729,2,0,2,5,2011,177
1,0,0,1,0.65959150534753,0.869302691887339,53,0.86930269188734,7,14,17,3,2012,690
3,0,1,1,0.975875802074748,0.959308137149237,47,0.959308137149238,5,9,14,7,2011,224
1,0,0,1,-0.710973780470418,-0.566047303605031,66,-0.566047303605031,1,0,1,1,2012,48
1,0,1,1,-1.554398571743,-1.73256524548621,32,-1.73256524548621,3,7,15,2,2011,105
1,0,1,3,-1.13268617610671,-1.19430899717657,75,-1.19430899717657,3,2,17,1,2012,12
3,0,1,1,0.765019604256603,0.779889387712691,65,0.779889387712691,6,8,15,7,2011,564
2,0,0,1,-0.605545681561345,-0.476633999430383,62,-0.476633999430383,7,16,2,4,2011,196
4,0,1,2,0.237879109711238,0.241633139403052,88,0.241633139403052,4,9,12,10,2011,197
4,0,1,2,-0.816401879379491,-0.924884802478124,76,-0.924884802478124,3,4,11,12,2012,8
1,0,1,1,0.0270229118930925,0.0616222488792559,59,0.061622248879256,5,2,15,3,2012,19
3,0,1,1,1.71387249443826,1.76639643907007,52,1.76639643907007,3,11,12,7,2011,125
4,0,0,1,-0.710973780470418,-0.566047303605031,62,-0.566047303605031,7,17,3,12,2011,232
1,0,1,1,0.343307208620311,0.3310464435777,37,0.3310464435777,4,16,7,3,2012,288
4,0,1,3,-0.394689483743199,-0.297215249993837,94,-0.297215249993837,4,16,7,12,2011,31
4,0,1,2,0.65959150534753,0.869302691887339,41,0.86930269188734,3,14,18,10,2011,169
4,0,1,2,-0.183833285925053,-0.11779650055729,67,-0.11779650055729,5,11,10,11,2011,108
2,0,1,1,-0.500117582652272,-0.386628554168485,56,-0.386628554168485,2,1,4,4,2011,11
3,0,0,2,0.132451010802165,0.151627694141154,72,0.151627694141154,7,18,17,9,2011,329
4,0,1,2,-0.605545681561345,-0.476633999430383,50,-0.476633999430383,3,15,11,12,2012,270
4,0,0,1,-0.816401879379491,-0.835471498303476,66,-0.835471498303476,1,6,13,11,2011,23
2,0,1,2,-0.921829978288564,-0.924884802478124,87,-0.924884802478124,6,5,8,4,2011,9
2,0,0,1,1.29216009880197,1.13872688658578,51,1.13872688658578,1,17,19,6,2011,397
2,0,1,2,0.554163406438457,0.600470638276144,78,0.600470638276145,3,9,3,5,2011,186
4,0,1,1,0.65959150534753,0.600470638276144,83,0.600470638276145,5,22,13,10,2011,114
2,0,0,1,0.343307208620311,0.3310464435777,88,0.3310464435777,7,4,5,5,2012,9
4,1,0,2,0.765019604256603,0.869302691887339,53,0.86930269188734,2,18,10,10,2011,473
1,0,1,1,-0.289261384834126,-0.207209804731939,58,-0.207209804731939,5,19,17,3,2011,207
2,0,1,1,-0.183833285925053,-0.11779650055729,33,-0.11779650055729,5,2,5,4,2012,18
3,0,1,2,0.65959150534753,0.421051888839598,94,0.421051888839598,3,4,18,9,2012,7
2,0,1,1,0.554163406438457,0.779889387712691,23,0.779889387712691,3,20,17,4,2012,402
3,0,0,2,1.9247286922564,1.85640188433197,44,1.85640188433197,7,14,1,9,2012,514
4,0,0,3,-0.710973780470418,-0.65605274886693,81,-0.65605274886693,1,22,2,10,2011,64
4,0,1,1,-0.394689483743199,-0.297215249993837,32,-0.297215249993837,6,18,4,11,2011,374
2,0,1,1,0.870447703165676,0.869302691887339,39,0.86930269188734,4,16,11,5,2011,289
3,0,1,3,0.65959150534753,0.421051888839598,94,0.421051888839598,6,9,9,9,2011,136
2,1,0,1,-0.500117582652272,-0.386628554168485,76,-0.386628554168485,6,2,15,4,2011,18
2,0,1,2,0.343307208620311,0.3310464435777,43,0.3310464435777,6,8,3,6,2011,502
1,0,0,1,-1.76525476956115,-1.91198399492275,47,-1.91198399492275,7,1,14,1,2012,50
3,0,0,1,0.132451010802165,0.151627694141154,77,0.151627694141154,1,6,9,9,2012,35
2,0,0,1,1.18673199989289,1.04872144132389,34,1.04872144132389,7,13,16,6,2012,617
1,0,1,1,-0.816401879379491,-0.835471498303476,53,-0.835471498303476,4,22,16,2,2011,73
1,0,0,1,-1.87068286847022,-2.0914027443593,42,-2.0914027443593,1,20,12,2,2012,57
1,0,0,1,-0.921829978288564,-0.835471498303476,57,-0.835471498303476,7,11,18,2,2012,286
4,0,0,2,-1.23811427501578,-1.10430355191467,81,-1.10430355191467,7,1,15,12,2012,95
3,0,1,1,1.18673199989289,1.22814019076043,70,1.22814019076043,3,4,19,7,2011,5
1,0,1,1,0.132451010802165,0.151627694141154,36,0.151627694141154,4,14,7,3,2012,175
1,0,1,1,-1.97611096737929,-2.0914027443593,50,-2.0914027443593,2,6,10,1,2011,31
2,0,1,1,0.765019604256603,0.869302691887339,33,0.86930269188734,5,22,2,6,2011,155
1,0,0,1,-1.44897047283393,-1.55314649604966,44,-1.55314649604966,7,7,10,3,2012,40
2,0,1,1,2.24101298898362,2.21523938320506,35,2.21523938320506,5,12,9,6,2011,140
3,0,1,1,1.29216009880197,1.31814563602233,66,1.31814563602233,4,16,18,7,2012,224
1,0,1,1,-0.816401879379491,-0.835471498303476,46,-0.835471498303476,6,12,3,2,2012,216
4,0,1,1,-1.13268617610671,-0.924884802478124,75,-0.924884802478124,4,7,14,12,2011,247
3,0,1,1,1.29216009880197,1.13872688658578,48,1.13872688658578,5,21,16,8,2012,356
3,0,1,3,0.870447703165676,0.689883942450793,89,0.689883942450793,5,21,19,7,2012,332
2,0,0,2,0.237879109711238,0.241633139403052,68,0.241633139403052,1,4,13,5,2012,9
2,0,1,2,-0.921829978288564,-1.01489024774002,93,-1.01489024774002,6,16,8,4,2011,60
1,0,1,2,0.765019604256603,0.869302691887339,57,0.86930269188734,2,14,19,3,2012,260
1,0,0,2,0.448735307529384,0.421051888839598,46,0.421051888839598,7,1,19,3,2011,51
3,0,1,2,0.870447703165676,0.869302691887339,61,0.86930269188734,6,2,13,7,2012,17
3,0,1,1,1.50301629662011,1.31814563602233,40,1.31814563602233,2,16,9,7,2012,413
1,1,0,1,-1.23811427501578,-1.55314649604966,35,-1.55314649604966,2,11,2,1,2012,175
1,0,1,1,-1.34354237392486,-1.46314105078776,65,-1.46314105078776,6,8,3,2,2012,441
1,0,1,1,-1.65982667065207,-1.55314649604966,80,-1.55314649604966,2,4,6,2,2012,2
4,0,1,1,-0.816401879379491,-0.924884802478124,61,-0.924884802478124,3,12,13,11,2012,196
2,0,1,2,0.343307208620311,0.3310464435777,83,0.3310464435777,3,8,3,5,2011,459
1,0,1,1,-1.02725807719764,-1.01489024774002,56,-1.01489024774002,6,20,11,3,2011,76
2,0,1,2,1.08130390098382,1.04872144132389,58,1.04872144132389,3,14,3,5,2011,158
3,0,1,1,0.870447703165676,0.869302691887339,74,0.86930269188734,3,5,2,8,2011,21
4,0,1,1,-0.394689483743199,-0.297215249993837,88,-0.297215249993837,3,3,18,12,2012,5
3,0,1,2,0.975875802074748,0.959308137149237,79,0.959308137149238,4,8,11,7,2012,674
4,0,1,2,-1.02725807719764,-1.10430355191467,45,-1.10430355191467,5,4,8,11,2012,10
1,0,1,1,-0.183833285925053,-0.11779650055729,88,-0.11779650055729,2,3,19,3,2012,2
3,0,1,2,0.237879109711238,0.241633139403052,45,0.241633139403052,6,14,16,9,2011,225
3,0,1,2,1.18673199989289,1.13872688658578,51,1.13872688658578,5,12,1,9,2011,229
4,1,0,1,0.554163406438457,0.689883942450793,73,0.689883942450793,2,20,10,10,2011,225
